O*NET-SOC Code,Title,training_and_experience_related_work_experience_ranked,training_and_experience_on_site_training_ranked,training_and_experience_on_the_job_training_ranked,training_and_experience_importance_ranked,training_and_experience_job_related_apprenticeship_importance_value,training_and_experience_on_site_or_in_plant_training_on_site_training_value,training_and_experience_on_the_job_training_on_the_job_training_value,training_and_experience_related_work_experience_related_work_experience_value
41-3041.00,Travel Agents,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,7.51
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.03,33.23,0.0,1.62
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.63,0.0,0.91
41-4011.07,Solar Sales Representatives and Assessors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.92,7.62,0.0,17.08
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.91,0.74,0.0,24.27
41-9011.00,Demonstrators and Product Promoters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,40.27,42.13,67.33
41-9012.00,Models,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,61.52,75.59,47.79
41-9021.00,Real Estate Brokers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.99,40.28,19.72,46.33
41-9022.00,Real Estate Sales Agents,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.14,34.78,31.82,91.3
41-9031.00,Sales Engineers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.92,0.0,8.97,0.0
41-9041.00,Telemarketers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.24,2.95,0.0,53.06
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,62.5,25.0,95.83
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,3.52,1.07,11.8
43-2011.00,"Switchboard Operators, Including Answering Service",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.34,6.91,4.13,17.91
43-2021.00,Telephone Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.53,3.42,9.75,9.13
43-3011.00,Bill and Account Collectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.12,4.6,0.0,3.29
43-3021.00,Billing and Posting Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.78,13.72,0.0,0.81
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,9.5,1.41,2.5
43-3041.00,Gambling Cage Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.23,19.55,8.09,28.11
43-3051.00,Payroll and Timekeeping Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.93,3.63,0.0,0.0
43-3061.00,Procurement Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.94,10.39,0.0,8.86
43-3071.00,Tellers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,26.46,0.0,48.32
43-4011.00,Brokerage Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,14.97,2.88,5.79
43-4021.00,Correspondence Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.17,13.5,6.57,5.15
43-4031.00,"Court, Municipal, and License Clerks",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.31,19.64,0.0,16.67
43-4051.00,Customer Service Representatives,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.3,2.98,0.11,11.07
43-4061.00,"Eligibility Interviewers, Government Programs",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.83,3.97,0.0,24.29
43-4071.00,File Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.83,13.04,0.0,13.48
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,32.61,11.94,51.87
43-4111.00,"Interviewers, Except Eligibility and Loan",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.44,0.0,17.17,0.0
43-4121.00,"Library Assistants, Clerical",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.54,12.62,0.0,24.35
43-4131.00,Loan Interviewers and Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,23.63,0.0,12.94
43-4141.00,New Accounts Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.55,12.02,2.17,9.85
43-4151.00,Order Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.99,0.0,17.39,13.21
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.51,14.2,0.0,0.0
43-4171.00,Receptionists and Information Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.31,16.63,1.23,11.62
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.57,6.62,57.77
43-5011.00,Cargo and Freight Agents,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.43,20.35,0.0,53.64
43-5011.01,Freight Forwarders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.29,1.34,0.0,0.47
43-5021.00,Couriers and Messengers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.28,46.31,11.34,26.46
43-5031.00,Public Safety Telecommunicators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.23,10.27,0.0,58.57
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.86,11.18,0.0,20.28
43-5041.00,"Meter Readers, Utilities",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.35,31.65,0.58,82.11
43-5051.00,Postal Service Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,1.68,7.26,27.48
43-5052.00,Postal Service Mail Carriers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.57,13.37,76.43
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,1.2,10.53,70.52
43-5061.00,"Production, Planning, and Expediting Clerks",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.04,23.31,9.4,19.48
43-5071.00,"Shipping, Receiving, and Inventory Clerks",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.12,16.37,8.79,17.85
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,2.58,0.34,20.06
43-6011.00,Executive Secretaries and Executive Administrative Assistants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,31.35,4.7,6.58
43-6012.00,Legal Secretaries and Administrative Assistants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.89,12.44,1.1,5.94
43-6013.00,Medical Secretaries and Administrative Assistants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.54,15.79,0.0,2.56
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.84,18.18,1.51,13.59
43-9021.00,Data Entry Keyers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,24.32,0.0,5.22
43-9022.00,Word Processors and Typists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.41,12.89,3.46,7.65
43-9031.00,Desktop Publishers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,34.69,0.0,14.12
43-9041.00,Insurance Claims and Policy Processing Clerks,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,23.7,0.99,9.55
43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,21.24,0.0,93.01
43-9061.00,"Office Clerks, General",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,25.25,4.85,7.72
43-9071.00,"Office Machine Operators, Except Computer",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,30.39,0.0,36.93
43-9081.00,Proofreaders and Copy Markers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,17.79,0.0,11.17
43-9111.00,Statistical Assistants,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.74,68.35,0.0,18.28
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.21,4.82,9.53
45-2011.00,Agricultural Inspectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,14.44,4.51,21.43
45-2021.00,Animal Breeders,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,12.03,0.0,12.03
45-2041.00,"Graders and Sorters, Agricultural Products",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,29.12,19.45,37.8
45-2091.00,Agricultural Equipment Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,2.97,1.81,20.43
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,37.94,14.9,39.06
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,34.6,26.72,40.2
45-3031.00,Fishing and Hunting Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.35,35.0,5.26,40.0
45-4011.00,Forest and Conservation Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.15,3.97,4.01,20.57
45-4021.00,Fallers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,50.66,11.96,17.66
45-4022.00,Logging Equipment Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,21.97,2.72,32.68
45-4023.00,Log Graders and Scalers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.34,0.0,7.19
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.58,10.09,0.0,0.28
47-1011.03,Solar Energy Installation Managers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.48,3.9,0.0,18.87
47-2011.00,Boilermakers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.41,21.48,1.27,19.78
47-2021.00,Brickmasons and Blockmasons,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,18.61,16.53,21.56
47-2022.00,Stonemasons,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.79,34.8,6.24,27.27
47-2031.00,Carpenters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.79,7.97,4.25,13.72
47-2041.00,Carpet Installers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,25.7,7.11,12.46
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,50.68,0.0,51.75
47-2043.00,Floor Sanders and Finishers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.03,21.5,2.72,18.87
47-2044.00,Tile and Stone Setters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.4,5.45,4.09,24.07
47-2051.00,Cement Masons and Concrete Finishers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.53,33.93,15.23,25.6
47-2053.00,Terrazzo Workers and Finishers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,44.51,19.84,49.71
47-2061.00,Construction Laborers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.71,43.5,28.84,43.47
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.37,47.12,15.79,13.36
47-2072.00,Pile Driver Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,18.8,8.47,12.72
47-2073.00,Operating Engineers and Other Construction Equipment Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.32,36.48,0.0,0.41
47-2081.00,Drywall and Ceiling Tile Installers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,9.02,5.74,12.46
47-2082.00,Tapers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.99,23.54,0.0,15.63
47-2111.00,Electricians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.73,9.3,1.31,22.19
47-2121.00,Glaziers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.43,41.47,8.49,36.27
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,21.39,6.88,38.41
47-2132.00,"Insulation Workers, Mechanical",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.77,16.17,12.02,81.22
47-2141.00,"Painters, Construction and Maintenance",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.27,46.92,15.35,46.82
47-2142.00,Paperhangers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,2.65,2.08,20.08
47-2151.00,Pipelayers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.72,12.28,3.21,12.28
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,4.17,14.05,10.8,18.6
47-2152.04,Solar Thermal Installers and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,4.49,0.0,29.22
47-2161.00,Plasterers and Stucco Masons,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,34.84,20.08,38.65
47-2171.00,Reinforcing Iron and Rebar Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.81,15.68,11.6,16.37
47-2181.00,Roofers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.35,29.87,12.38,41.13
47-2211.00,Sheet Metal Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.97,8.66,0.0,46.91
47-2221.00,Structural Iron and Steel Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.88,35.57,0.0,57.39
47-2231.00,Solar Photovoltaic Installers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.62,10.06,0.0,16.35
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,45.37,44.45,42.03
47-3012.00,Helpers--Carpenters,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.36,28.71,27.74,0.0
47-3013.00,Helpers--Electricians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.06,11.16,7.78,24.66
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,31.19,20.05,29.72
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,21.17,18.49,36.06
47-3016.00,Helpers--Roofers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.88,19.16,21.47,54.43
47-4011.00,Construction and Building Inspectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.68,8.0,0.0,0.0
47-4011.01,Energy Auditors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.38,0.0,0.0,10.34
47-4021.00,Elevator and Escalator Installers and Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,26.14,0.0,7.8
47-4031.00,Fence Erectors,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,24.01,2.55,31.46
47-4041.00,Hazardous Materials Removal Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.25,20.51,0.0,41.57
47-4051.00,Highway Maintenance Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,1.43,16.08,16.2
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.31,17.31,0.85,37.98
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,25.24,0.0,34.56
47-4091.00,Segmental Pavers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,9.27,0.0,14.71
47-4099.03,Weatherization Installers and Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.35,8.7,4.35,8.7
47-5011.00,"Derrick Operators, Oil and Gas",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.08,5.7,26.68
47-5012.00,"Rotary Drill Operators, Oil and Gas",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,13.12,11.05,13.5
47-5013.00,"Service Unit Operators, Oil and Gas",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,13.67,0.0,9.66
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,20.55,0.0,18.07
47-5023.00,"Earth Drillers, Except Oil and Gas",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.59,0.0,30.29
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.33,4.17,12.5
47-5041.00,Continuous Mining Machine Operators,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,3.9,0.0,15.17
47-5043.00,"Roof Bolters, Mining",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,17.7,0.0,38.74
47-5044.00,"Loading and Moving Machine Operators, Underground Mining",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.47,1.21,25.45
47-5051.00,"Rock Splitters, Quarry",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,21.43,0.0,16.8
47-5071.00,"Roustabouts, Oil and Gas",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.43,36.59,18.48,19.24
47-5081.00,Helpers--Extraction Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,10.43,8.72,55.5
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.9,14.01,6.9,12.38
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.95,0.0,0.0,0.0
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.34,0.0,0.0,15.96
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.62,5.45,5.45,42.6
49-2091.00,Avionics Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,12.45,1.11,10.27
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,19.43,13.07,18.99
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,5.84,0.0,7.06
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.9,5.13,3.52,0.0
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.18,0.0,10.47
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,3.69,0.0,4.96
49-2097.00,Audiovisual Equipment Installers and Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.82,13.14,1.07,14.02
49-2098.00,Security and Fire Alarm Systems Installers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.0,0.0,0.0
49-3011.00,Aircraft Mechanics and Service Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.49,13.53,0.0,5.75
49-3021.00,Automotive Body and Related Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.81,30.71,18.27,41.37
49-3022.00,Automotive Glass Installers and Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,3.8,0.0,4.96
49-3023.00,Automotive Service Technicians and Mechanics,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.71,12.3,0.0,26.08
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.48,11.1,0.67,0.0
49-3041.00,Farm Equipment Mechanics and Service Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.28,15.07,0.43,14.82
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,5.12,1.77,11.72
49-3043.00,Rail Car Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,40.05,0.76,32.62
49-3051.00,Motorboat Mechanics and Service Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,23.08,8.73,7.63
49-3052.00,Motorcycle Mechanics,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.68,0.0,22.14,4.99
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,12.45,8.15,4.29
49-3091.00,Bicycle Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.36,58.17,0.0,20.69
49-3092.00,Recreational Vehicle Service Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.33,33.83,18.31,13.49
49-3093.00,Tire Repairers and Changers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.02,5.56,0.0,30.89
49-9011.00,Mechanical Door Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.93,15.17,0.0,48.3
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,1.3,1.3,8.29
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.85,9.28,9.28,0.0
49-9031.00,Home Appliance Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,15.23,7.35,34.31
49-9041.00,Industrial Machinery Mechanics,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.85,9.4,0.0,0.0
49-9043.00,"Maintenance Workers, Machinery",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.28,13.13,0.0,0.0
49-9044.00,Millwrights,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.73,9.09,4.76,22.73
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,0.29,0.0,17.66
49-9051.00,Electrical Power-Line Installers and Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.72,14.6,6.88,38.98
49-9052.00,Telecommunications Line Installers and Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.43,6.98,0.0,10.25
49-9061.00,Camera and Photographic Equipment Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,4.23,0.0,16.48
49-9062.00,Medical Equipment Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.24,9.76,1.31,25.04
49-9063.00,Musical Instrument Repairers and Tuners,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.91,13.64,4.55,13.64
49-9064.00,Watch and Clock Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,49.45,15.88,2.1
49-9071.00,"Maintenance and Repair Workers, General",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.04,30.1,0.0,0.06
49-9081.00,Wind Turbine Service Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.37,1.24,1.26,28.79
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.49,2.65,18.98
49-9092.00,Commercial Divers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.99,15.72,0.0,18.92
49-9094.00,Locksmiths and Safe Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,3.04,7.69,3.85,30.77
49-9095.00,Manufactured Building and Mobile Home Installers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,39.5,37.69,18.74
49-9096.00,Riggers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,12.57,9.69,33.65
49-9097.00,Signal and Track Switch Repairers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.6,0.0,2.53,15.9
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.64,19.89,2.21,15.34
49-9099.01,Geothermal Technicians,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,2.53,0.0,0.0,36.66
51-1011.00,First-Line Supervisors of Production and Operating Workers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.79,15.03,0.0,7.08
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,11.2,0.0,21.98
51-2021.00,"Coil Winders, Tapers, and Finishers",related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,1.14,0.3,56.49
51-2022.00,Electrical and Electronic Equipment Assemblers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,job_related_apprenticeship,1.65,48.97,0.0,51.11
51-2023.00,Electromechanical Equipment Assemblers,related_work_experience,on_site_or_in_plant_training,on_the_job_training,,,8.92,0.58,1.22
